App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5904932,HDR,08/16/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5884719,HDR,07/01/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5904155,HDR,08/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5903338,HDR,08/14/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5921556,HDR,09/24/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919921,HDR,09/07/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5918372,HDR,08/27/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5889056,HDR,07/22/2018,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5890885,HDR,07/30/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5890517,HDR,07/28/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5891062,HDR,07/31/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923904,HDR,10/16/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5903688,HDR,08/14/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5889355,HDR,07/23/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922888,HDR,10/06/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5921078,HDR,09/19/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923473,HDR,10/12/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/27/2018 12:00:30 PM
5922569,HDR,10/03/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5890222,HDR,07/27/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920698,HDR,09/15/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5900142,HDR,08/13/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5890160,HDR,07/26/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923057,HDR,10/09/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5892907,HDR,08/05/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5919885,HDR,09/07/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922453,HDR,10/02/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923196,HDR,10/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923369,HDR,10/11/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,10/27/2018 12:00:30 PM
5919498,HDR,09/04/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922037,HDR,09/28/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5886976,HDR,07/12/2018,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924602,HDR,10/24/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
